MatchId,Player,Team,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,Intercepts,Marks,InterceptMarks,ContestedMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,ScoreLaunches,Season,Round
20200101,Jack Martin,Carlton,0.1,-1.3,13.8,0.2,12.8,6.01,5,107,86,90,11,6,17,76.5,275,2,3,1,9,,7,4,3,6,0,0,,0,1,0,0,0,5,4,1,1,10,2,2020,1
20200101,Sam Docherty,Carlton,1.5,3.3,4.0,4.0,12.7,8.74,0,117,95,86,17,9,26,69.2,584,4,5,1,9,,8,5,9,7,0,0,,0,0,0,0,0,0,0,0,0,3,1,2020,1
20200101,Liam Baker,Richmond,5.2,1.0,1.2,4.6,12.0,6.95,0,91,46,82,6,10,16,75.0,222,0,4,1,9,,10,8,10,2,0,0,,1,0,0,0,0,0,0,0,0,7,6,2020,1
20200101,Marlion Pickett,Richmond,2.3,1.1,4.3,4.3,12.0,5.56,0,94,60,73,8,6,14,71.4,267,5,3,5,27,,6,5,3,1,1,0,,2,2,0,0,0,1,0,0,1,6,2,2020,1
20200101,Jason Castagna,Richmond,6.9,0.4,3.6,0.4,11.4,5.83,0,79,54,90,5,3,8,87.5,162,3,1,3,21,,0,0,0,1,0,0,,0,0,0,0,0,3,3,0,0,4,0,2020,1
20200101,Dylan Grimes,Richmond,3.4,2.2,3.1,2.4,11.1,7.87,0,50,36,97,5,2,7,71.4,92,0,2,2,5,,2,1,6,5,4,1,,0,0,0,0,0,0,0,0,0,1,1,2020,1
20200101,Levi Casboult,Carlton,1.7,0.4,2.4,5.9,10.3,6.97,0,104,85,86,11,6,17,64.7,159,2,3,0,9,,7,4,3,4,1,1,,2,3,54,16,5,2,2,0,0,6,3,2020,1
20200101,Ed Curnow,Carlton,3.1,4.0,0.9,1.5,9.5,8.46,0,57,52,86,10,6,16,56.3,269,4,5,3,16,,7,3,2,2,0,1,,4,2,0,0,0,0,0,0,0,7,1,2020,1
20200101,Nick Vlastuin,Richmond,3.9,1.7,3.9,0.0,9.5,9.14,0,78,38,50,6,1,7,85.7,263,0,2,3,6,,4,2,3,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,2020,1
20200101,Jack Newnes,Carlton,2.1,2.9,0.2,4.1,9.4,5.56,0,67,46,79,9,3,12,75.0,356,4,4,1,8,,2,2,1,2,0,0,,0,1,0,0,0,1,1,0,0,2,0,2020,1
20200101,Trent Cotchin,Richmond,0.5,3.3,1.8,3.5,9.1,9.44,0,94,63,80,11,8,19,63.2,463,5,5,2,17,,9,7,2,3,0,1,,3,4,0,0,0,2,0,2,0,7,1,2020,1
20200101,Liam Jones,Carlton,0.0,4.7,3.3,0.4,8.4,7.91,0,64,37,97,5,4,9,77.8,173,1,1,0,2,,4,2,7,4,3,1,,0,0,0,0,0,1,0,1,0,1,1,2020,1
20200101,Jack Silvagni,Carlton,1.2,2.4,0.3,4.0,7.8,5.91,0,56,34,87,4,2,6,50.0,75,0,1,0,11,,5,2,0,1,0,1,,0,0,0,0,0,3,2,1,0,4,0,2020,1
20200101,Josh Caddy,Richmond,4.6,1.2,0.9,0.8,7.5,8.5,0,84,67,94,10,5,15,80.0,299,5,6,3,9,,2,1,3,5,2,1,,2,0,0,0,0,0,0,0,2,5,1,2020,1
20200101,Tom Lynch,Richmond,2.3,1.9,1.3,1.8,7.2,7.7,0,55,22,91,4,5,9,77.8,121,1,1,1,14,,6,5,0,0,0,0,,0,0,0,0,0,1,0,1,0,6,0,2020,1
20200101,David Astbury,Richmond,1.8,3.7,-2.9,4.4,7.0,5.73,0,90,49,98,9,5,14,100.0,300,0,1,2,7,,5,4,7,3,1,0,,0,0,0,0,0,0,0,0,0,3,1,2020,1
20200101,Mitch McGovern,Carlton,-0.2,1.1,0.9,5.1,6.9,6.02,0,69,45,77,4,3,7,57.1,129,1,0,2,14,,4,2,1,4,1,2,,0,0,7,3,0,2,1,1,1,4,0,2020,1
20200101,Kade Simpson,Carlton,-1.5,3.1,3.9,0.9,6.5,6.59,0,82,72,88,13,7,20,85.0,376,0,5,0,7,,6,5,8,6,2,0,,2,1,0,0,0,0,0,0,0,4,2,2020,1
20200101,Jack Riewoldt,Richmond,10.9,1.2,-0.8,-5.5,5.9,8.85,0,74,50,97,5,1,6,66.7,133,1,5,2,7,,3,0,0,5,0,3,,0,0,2,0,0,4,3,1,1,5,0,2020,1
20200101,Jack Graham,Richmond,2.3,0.7,0.7,2.0,5.6,8.04,0,40,23,87,2,6,8,100.0,42,0,1,1,23,,4,3,3,0,0,0,,1,0,0,0,0,0,0,0,0,1,1,2020,1
20200101,Jayden Short,Richmond,0.5,2.3,1.5,1.2,5.5,6.4,0,86,66,79,13,2,15,93.3,511,1,6,2,9,,3,1,3,5,2,1,,0,1,0,0,0,0,0,0,0,1,0,2020,1
20200101,Kane Lambert,Richmond,2.7,0.4,1.1,0.5,4.7,9.65,0,90,59,82,6,8,14,78.6,203,0,2,2,9,,6,2,2,3,0,0,,4,3,0,0,0,2,1,1,1,8,1,2020,1
20200101,Sydney Stack,Richmond,2.3,1.1,-0.8,1.8,4.3,8.46,0,55,26,73,3,7,10,80.0,167,2,3,2,11,,6,5,5,0,0,0,,0,0,0,0,0,0,0,0,0,4,1,2020,1
20200101,Marc Murphy,Carlton,2.3,1.0,-0.6,1.0,3.8,8.81,0,101,78,87,12,14,26,69.2,347,6,7,0,17,,11,8,2,8,0,0,,5,9,0,0,0,1,0,0,1,7,1,2020,1
20200101,Michael Gibbons,Carlton,0.2,1.1,-0.2,2.4,3.5,5.48,0,27,20,83,3,4,7,71.4,115,1,1,0,12,,2,1,0,1,0,0,,0,1,0,0,0,0,0,0,0,2,0,2020,1
20200101,Toby Nankervis,Richmond,0.1,-0.1,2.9,0.4,3.3,7.68,0,27,30,46,1,6,7,85.7,54,1,1,1,10,,4,3,2,1,0,0,,1,1,32,16,3,0,0,0,0,2,1,2020,1
20200101,Matthew Kreuzer,Carlton,3.2,0.0,0.0,0.0,3.2,9.73,0,33,16,21,0,1,1,100.0,-15,0,0,1,4,,0,0,1,1,1,0,,0,0,15,7,4,0,0,0,0,1,1,2020,1
20200101,Nic Newman,Carlton,-0.1,0.8,2.5,-0.1,3.2,7.96,0,39,49,71,11,2,13,76.9,253,0,1,2,13,,1,1,2,2,0,0,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200101,David Cuningham,Carlton,2.6,-0.3,0.3,0.5,3.1,6.09,0,57,50,89,7,1,8,75.0,171,2,1,1,4,,2,0,0,3,0,1,,0,0,0,0,0,3,2,1,1,5,0,2020,1
20200101,Will Setterfield,Carlton,0.8,0.2,1.1,0.3,2.5,3.46,0,24,24,83,4,2,6,66.7,111,2,1,2,13,,3,3,3,1,0,0,,1,0,0,0,0,0,0,0,0,3,2,2020,1
20200101,Lachie Plowman,Carlton,0.9,-0.1,1.6,0.0,2.4,6.83,0,36,24,85,5,2,7,57.1,181,2,2,0,6,,2,1,2,1,0,0,,0,0,0,0,0,1,0,1,0,2,0,2020,1
20200101,Nathan Broad,Richmond,-0.5,1.3,0.2,0.7,1.7,5.26,0,53,36,94,8,1,9,88.9,165,0,3,1,4,,1,1,2,4,0,0,,0,0,0,0,0,0,0,0,0,2,1,2020,1
20200101,Sam Walsh,Carlton,0.1,-0.3,0.0,1.3,1.1,7.2,0,55,65,81,12,7,19,31.6,262,6,8,0,16,,8,7,2,5,0,0,,2,2,0,0,0,0,0,0,0,1,0,2020,1
20200101,Paddy Dow,Carlton,-2.5,-1.8,-0.4,2.9,-1.8,6.76,0,27,38,76,4,3,7,57.1,116,1,0,2,11,,2,1,1,3,0,0,,0,0,0,0,0,2,0,2,1,4,1,2020,1
20200102,Jeremy Howe,Collingwood,4.3,4.0,6.4,4.7,19.3,8.61,5,156,110,96,16,9,25,88.0,433,1,4,4,6,,11,7,12,9,4,3,,0,0,0,0,0,0,0,0,0,3,2,2020,1
20200102,Brody Mihocek,Collingwood,2.6,10.2,2.8,1.1,16.7,7.99,5,127,82,82,9,2,11,100.0,317,4,0,3,15,,3,1,0,8,0,2,,0,0,0,0,0,3,3,0,1,8,0,2020,1
20200102,Taylor Adams,Collingwood,1.4,6.5,1.9,5.2,15.1,10.0,4,112,105,85,16,10,26,61.5,230,2,5,5,22,,14,5,2,3,0,0,,12,14,0,0,0,1,1,0,0,5,3,2020,1
20200102,Jack Macrae,Western Bulldogs,3.9,6.8,1.9,1.4,14.0,11.28,0,103,88,82,11,11,22,72.7,266,3,3,5,28,,11,11,0,5,0,0,,4,3,0,0,0,0,0,0,0,2,1,2020,1
20200102,Brodie Grundy,Collingwood,5.7,3.2,3.9,-0.3,12.5,13.7,9,179,112,82,8,11,19,57.9,171,5,2,3,10,,13,7,2,3,0,2,,4,5,57,35,12,4,1,3,2,9,5,2020,1
20200102,Bailey Williams,Western Bulldogs,4.2,3.8,2.2,1.9,12.1,5.75,0,77,67,82,9,8,17,76.5,332,0,4,0,21,,2,2,2,6,1,0,,0,0,0,0,0,1,1,0,0,3,0,2020,1
20200102,Scott Pendlebury,Collingwood,5.7,3.9,0.5,0.9,10.9,11.11,6,109,90,83,13,12,25,72.0,217,2,3,4,18,,7,4,1,4,0,0,,3,3,0,0,0,0,0,0,0,6,0,2020,1
20200102,Callum Brown,Collingwood,6.5,0.3,1.7,2.2,10.7,7.58,0,89,55,76,6,8,14,85.7,94,2,3,3,24,,4,4,0,1,0,0,,1,0,0,0,0,1,1,0,1,5,1,2020,1
20200102,Jason Johannisen,Western Bulldogs,1.5,3.1,6.0,0.0,10.7,8.57,0,61,55,82,11,5,16,75.0,190,0,1,0,14,,4,4,3,4,0,0,,2,1,0,0,0,0,0,0,1,3,1,2020,1
20200102,Hayden Crozier,Western Bulldogs,4.6,0.3,2.5,2.9,10.2,6.7,0,115,82,84,12,5,17,76.5,259,1,4,7,22,,7,5,6,4,0,0,,1,1,0,0,0,0,0,0,0,2,2,2020,1
20200102,Alex Keath,Western Bulldogs,3.5,-0.7,3.3,3.4,9.5,7.0,0,79,71,85,13,2,15,73.3,291,1,2,1,6,,5,2,5,9,3,3,,1,1,0,0,0,0,0,0,0,1,0,2020,1
20200102,Josh Daicos,Collingwood,0.0,0.6,1.9,6.9,9.4,3.93,0,61,70,88,7,7,14,85.7,160,1,2,5,17,,4,3,3,3,0,0,,1,1,0,0,0,2,2,0,0,3,0,2020,1
20200102,Brayden Maynard,Collingwood,1.8,1.4,4.1,2.1,9.4,6.96,0,104,76,86,15,4,19,94.7,343,2,2,2,8,,4,3,3,6,0,0,,1,0,0,0,0,0,0,0,0,4,0,2020,1
20200102,Mason Cox,Collingwood,5.7,3.0,0.2,0.5,9.4,6.67,0,82,57,79,5,4,9,88.9,12,0,0,0,3,,5,1,1,4,1,2,,0,1,10,8,2,2,2,0,0,3,1,2020,1
20200102,Marcus Bontempelli,Western Bulldogs,3.3,1.6,4.0,0.5,9.3,12.0,0,76,51,82,5,10,15,73.3,168,2,4,6,21,,7,6,1,0,0,0,,2,4,0,0,0,0,0,0,0,1,0,2020,1
20200102,Steele Sidebottom,Collingwood,2.2,-0.5,2.6,3.6,7.9,8.98,0,125,107,77,11,15,26,76.9,165,1,7,4,24,,7,6,2,9,0,0,,2,0,0,0,0,1,0,1,1,8,1,2020,1
20200102,Darcy Moore,Collingwood,3.2,1.2,1.2,2.2,7.9,8.48,0,55,44,97,7,4,11,100.0,51,0,0,0,3,,4,3,4,6,1,1,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200102,Jordan De Goey,Collingwood,0.4,2.3,3.8,1.5,7.9,9.3,1,66,61,84,9,5,14,57.1,320,6,2,1,8,,5,1,1,4,1,0,,4,4,0,0,0,3,1,2,0,4,1,2020,1
20200102,Josh Dunkley,Western Bulldogs,0.1,2.7,1.5,3.5,7.8,11.13,0,67,61,81,9,10,19,52.6,201,1,4,2,19,,8,7,6,2,0,0,,2,2,0,0,0,0,0,0,0,3,1,2020,1
20200102,Tom Phillips,Collingwood,3.7,-0.3,2.0,2.3,7.7,7.66,0,64,41,84,5,7,12,91.7,109,2,0,3,14,,6,3,2,0,0,0,,1,1,0,0,0,0,0,0,1,4,2,2020,1
20200102,Zaine Cordy,Western Bulldogs,1.2,1.7,2.6,2.1,7.7,6.37,0,68,33,94,9,0,9,88.9,257,0,1,0,6,,2,0,2,2,0,0,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200102,Matthew Suckling,Western Bulldogs,0.2,2.3,4.6,0.3,7.4,7.95,0,67,55,76,8,3,11,81.8,190,4,2,1,7,,3,2,0,6,0,0,,0,0,0,0,0,1,1,0,1,5,0,2020,1
20200102,Will Hoskin-Elliott,Collingwood,5.3,2.2,-0.7,0.5,7.2,6.62,0,96,73,84,9,6,15,86.7,123,1,1,2,13,,6,4,1,6,0,0,,2,2,0,0,0,1,1,0,0,4,0,2020,1
20200102,Caleb Daniel,Western Bulldogs,3.0,1.6,2.7,-0.1,7.2,7.62,0,92,63,78,10,10,20,75.0,160,3,1,1,15,,8,8,7,3,2,0,,1,1,0,0,0,0,0,0,0,4,1,2020,1
20200102,Mitch Wallis,Western Bulldogs,4.0,2.2,1.8,-1.6,6.5,9.11,0,59,40,80,5,7,12,83.3,31,1,3,1,13,,6,4,3,2,1,0,,0,1,0,0,0,1,1,0,0,2,1,2020,1
20200102,Jamie Elliott,Collingwood,7.9,1.7,-0.6,-3.3,5.7,6.9,0,70,55,67,9,4,13,53.8,233,4,5,1,12,,3,3,0,3,0,0,,1,0,0,0,0,3,1,1,0,5,1,2020,1
20200102,Bailey Smith,Western Bulldogs,3.7,2.6,-1.5,0.9,5.7,8.26,0,106,95,79,9,14,23,73.9,227,2,4,7,24,,6,6,1,5,0,0,,2,4,0,0,0,0,0,0,0,3,0,2020,1
20200102,Easton Wood,Western Bulldogs,0.8,2.3,0.7,2.0,5.7,6.0,0,60,47,83,7,7,14,71.4,101,0,2,0,5,,7,5,6,5,2,2,,1,1,0,0,0,0,0,0,0,0,0,2020,1
20200102,Josh Bruce,Western Bulldogs,0.4,0.9,2.9,1.4,5.6,6.24,0,40,33,90,2,4,6,66.7,60,0,1,2,9,,2,1,0,1,0,0,,2,1,6,2,0,1,1,0,0,2,0,2020,1
20200102,Tyler Brown,Collingwood,3.0,0.0,2.9,-0.4,5.5,4.29,0,64,46,71,4,11,15,60.0,93,1,3,3,19,,7,6,1,0,0,0,,1,1,0,0,0,1,0,0,1,3,0,2020,1
20200102,Chris Mayne,Collingwood,4.1,-0.9,2.3,0.0,5.5,6.67,0,107,94,85,13,16,29,93.1,169,1,2,0,8,,8,6,5,7,0,0,,0,1,0,0,0,0,0,0,0,8,3,2020,1
20200102,Ben Cavarra,Western Bulldogs,2.3,2.7,1.0,-1.4,4.6,4.29,0,32,23,72,2,1,3,66.7,105,1,0,1,13,,2,1,1,1,0,0,,1,1,0,0,0,2,1,1,0,2,1,2020,1
20200102,Josh Thomas,Collingwood,-0.3,0.6,1.5,2.4,4.2,7.11,0,64,35,74,2,9,11,81.8,-27,0,0,2,18,,5,5,0,2,0,0,,1,1,0,0,0,0,0,0,1,5,0,2020,1
20200102,John Noble,Collingwood,0.0,1.2,2.2,0.6,4.0,2.75,0,74,67,71,8,11,19,78.9,141,1,4,3,11,,4,4,4,4,0,0,,0,0,0,0,0,0,0,0,0,3,1,2020,1
20200102,Lachie Hunter,Western Bulldogs,1.1,0.4,1.0,1.4,4.0,8.0,0,84,71,85,13,9,22,77.3,256,1,3,1,14,,5,3,1,5,0,0,,1,1,0,0,0,0,0,0,0,0,0,2020,1
20200102,Jack Crisp,Collingwood,3.3,-1.7,1.9,-0.3,3.2,8.61,0,62,59,79,12,3,15,80.0,349,6,4,0,4,,2,1,3,7,0,0,,0,0,0,0,0,1,0,1,1,3,0,2020,1
20200102,Jordan Roughead,Collingwood,0.4,0.0,0.5,1.9,2.8,6.46,0,37,23,93,3,2,5,100.0,18,0,0,1,2,,1,0,1,2,1,1,,0,0,0,0,0,0,0,0,0,0,0,2020,1
20200102,Tim English,Western Bulldogs,0.6,-0.4,2.6,-0.3,2.5,7.87,0,63,57,78,9,1,10,70.0,113,1,0,0,10,,4,0,4,4,3,2,,1,0,50,12,1,1,0,1,0,2,1,2020,1
20200102,Jack Madgen,Collingwood,0.9,0.6,0.0,0.2,1.8,4.91,0,22,23,77,4,1,5,100.0,31,0,1,0,1,,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,2,0,2020,1
20200102,Sam Lloyd,Western Bulldogs,0.3,0.1,0.7,0.2,1.3,7.92,0,48,57,83,6,2,8,75.0,95,1,3,5,20,,2,0,0,4,0,0,,0,0,0,0,0,1,0,1,0,1,0,2020,1
20200102,Ryan Gardner,Western Bulldogs,0.3,0.2,-0.2,1.1,1.3,3.56,0,44,49,97,8,3,11,63.6,32,0,2,1,3,,0,0,1,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,1
20200102,Aaron Naughton,Western Bulldogs,1.0,0.0,-0.6,-0.5,0.0,6.93,0,18,6,81,1,1,2,100.0,32,0,0,1,10,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,1
20200102,Bailey Dale,Western Bulldogs,1.1,-0.8,-0.4,-1.0,-1.2,6.99,0,16,13,76,1,5,6,66.7,-7,0,3,0,10,,2,2,1,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200102,Lewis Young,Western Bulldogs,-1.8,-0.4,-2.5,-1.4,-6.1,5.52,0,0,13,69,3,1,4,75.0,26,0,1,0,8,,0,0,0,3,0,0,,0,0,11,1,0,1,0,1,0,1,0,2020,1
20200103,Dylan Shiel,Essendon,8.1,3.3,3.4,5.2,20.0,11.0,10,163,122,86,21,14,35,77.1,298,2,1,3,13,,13,8,4,5,0,0,,9,10,0,0,0,1,0,1,1,5,1,2020,1
20200103,Rory Lobb,Fremantle,2.9,2.2,6.2,7.4,18.7,9.83,8,133,93,95,13,2,15,80.0,335,3,1,2,10,,7,2,5,7,4,4,,1,1,29,9,4,3,2,0,1,7,2,2020,1
20200103,Michael Walters,Fremantle,3.4,0.1,0.9,10.3,14.6,11.0,2,110,80,87,11,10,21,81.0,340,6,3,2,13,,9,6,1,4,0,0,,5,5,0,0,0,1,1,0,2,8,2,2020,1
20200103,Devon Smith,Essendon,6.6,4.7,0.2,2.8,14.3,7.84,0,105,70,81,9,6,15,66.7,318,3,3,5,18,,8,4,2,2,0,0,,2,3,0,0,0,2,1,1,1,7,0,2020,1
20200103,Jacob Townsend,Essendon,9.8,1.7,0.8,0.2,12.6,5.28,4,99,60,77,4,5,9,77.8,73,0,2,3,4,,7,2,0,3,0,3,,0,0,0,0,0,4,3,0,1,6,0,2020,1
20200103,Andrew McGrath,Essendon,1.2,6.0,2.4,2.4,12.0,7.84,2,113,92,78,12,11,23,60.9,216,5,3,8,15,,11,9,6,1,1,0,,3,4,0,0,0,0,0,0,0,6,2,2020,1
20200103,Tom Bellchambers,Essendon,3.8,0.7,4.4,2.3,11.1,8.63,0,101,63,87,5,2,7,85.7,-7,0,1,3,5,,4,0,1,1,0,0,,2,2,55,29,11,0,0,0,0,5,3,2020,1
20200103,Sam Sturt,Fremantle,1.4,4.0,0.9,4.7,11.0,4.57,0,100,61,82,5,5,10,90.0,199,2,0,2,9,,4,2,1,3,0,1,,0,0,0,0,0,3,3,0,0,7,1,2020,1
20200103,Nat Fyfe,Fremantle,3.8,1.0,3.3,2.4,10.6,14.33,0,110,89,95,10,16,26,61.5,225,1,5,4,17,,10,8,6,4,0,1,,1,1,0,0,0,1,0,0,0,4,1,2020,1
20200103,Will Snelling,Essendon,3.2,0.5,5.3,1.1,10.1,9.44,0,82,72,80,4,13,17,82.4,137,1,2,4,14,,4,4,4,4,1,0,,0,0,0,0,0,2,1,0,0,6,2,2020,1
20200103,Jordan Ridley,Essendon,2.5,1.9,2.1,3.5,10.0,4.01,0,100,80,90,12,4,16,100.0,100,0,0,2,5,,3,1,3,9,1,1,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200103,Zach Merrett,Essendon,-1.5,0.0,6.5,4.6,9.6,11.49,0,111,75,83,9,13,22,72.7,241,3,6,3,15,,10,7,4,4,0,0,,4,4,0,0,0,0,0,0,0,5,2,2020,1
20200103,Sean Darcy,Fremantle,1.2,2.2,4.5,1.0,8.9,7.13,0,54,34,87,1,5,6,100.0,14,0,1,0,5,,6,3,0,2,0,1,,2,1,34,21,4,0,0,0,0,1,0,2020,1
20200103,Brandon Zerk-Thatcher,Essendon,2.3,2.9,3.0,0.5,8.7,4.15,0,49,40,91,7,5,12,91.7,124,0,2,0,6,,1,1,2,3,1,0,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200103,Adam Saad,Essendon,1.1,-0.7,1.3,6.8,8.6,8.54,4,110,100,78,15,13,28,82.1,481,2,6,3,12,,4,3,5,6,1,0,,0,0,0,0,0,1,0,1,0,3,0,2020,1
20200103,Darcy Parish,Essendon,3.6,3.4,0.6,1.0,8.5,7.61,0,53,37,66,6,6,12,83.3,156,1,1,1,10,,5,4,2,1,0,0,,3,3,0,0,0,0,0,0,0,4,2,2020,1
20200103,Reece Conca,Fremantle,0.8,0.7,2.8,4.2,8.4,5.37,0,88,68,86,10,5,15,86.7,193,0,4,4,6,,6,4,6,4,1,0,,1,1,0,0,0,0,0,0,0,4,3,2020,1
20200103,Tom Cutler,Essendon,1.7,1.5,2.2,1.8,7.3,7.66,0,92,59,87,11,6,17,76.5,437,4,5,1,7,,5,3,4,3,0,0,,1,1,0,0,0,0,0,0,1,2,0,2020,1
20200103,James Aish,Fremantle,4.0,0.8,-0.4,2.7,7.1,6.17,0,62,43,87,8,4,12,75.0,256,4,4,1,10,,1,0,2,2,1,0,,0,0,0,0,0,0,0,0,1,1,0,2020,1
20200103,Anthony McDonald-Tipungwuti,Essendon,3.4,1.5,0.2,1.8,6.9,9.03,0,67,49,76,4,7,11,54.5,74,2,1,5,13,,5,3,0,1,0,0,,1,2,0,0,0,0,0,0,1,3,1,2020,1
20200103,Taylin Duman,Fremantle,0.0,1.4,4.7,0.6,6.7,4.82,0,70,54,87,7,3,10,70.0,229,0,2,3,10,,4,2,5,5,1,0,,0,1,0,0,0,0,0,0,0,1,1,2020,1
20200103,Brett Bewley,Fremantle,2.4,2.3,0.6,1.3,6.6,4.98,0,95,89,85,16,4,20,85.0,498,1,3,2,11,,4,3,3,8,0,0,,0,0,0,0,0,0,0,0,0,5,1,2020,1
20200103,Kyle Langford,Essendon,0.1,1.8,2.5,1.9,6.2,8.52,0,88,82,86,9,9,18,77.8,222,2,4,3,9,,6,5,3,8,2,1,,1,1,4,0,0,1,0,1,0,1,0,2020,1
20200103,Brennan Cox,Fremantle,0.8,1.9,1.2,2.3,6.2,6.31,0,54,31,81,6,4,10,90.0,115,1,1,1,5,,2,0,4,3,2,1,,0,0,0,0,0,0,0,0,0,1,0,2020,1
20200103,Matt Guelfi,Essendon,1.4,1.0,1.6,2.1,6.1,5.01,0,79,59,80,9,7,16,81.3,251,3,2,2,3,,3,1,4,4,1,0,,0,0,0,0,0,0,0,0,0,2,1,2020,1
20200103,Ethan Hughes,Fremantle,3.4,2.1,0.8,-0.2,6.0,6.27,0,52,28,73,5,2,7,71.4,103,0,0,0,1,,2,2,4,3,2,0,,0,0,0,0,0,0,0,0,0,2,1,2020,1
20200103,Adam Cerra,Fremantle,-1.1,0.0,-1.0,7.8,5.7,5.52,0,54,43,73,4,11,15,93.3,207,2,2,1,13,,3,2,2,4,1,0,,2,0,0,0,0,1,0,1,0,4,0,2020,1
20200103,Darcy Tucker,Fremantle,0.2,2.3,2.0,1.3,5.7,6.53,0,76,82,77,10,13,23,60.9,330,3,5,2,17,,7,5,2,6,0,0,,3,2,0,0,0,1,0,0,2,7,1,2020,1
20200103,Andrew Brayshaw,Fremantle,1.7,0.4,2.6,0.8,5.5,6.79,0,66,44,65,7,7,14,71.4,173,0,0,1,10,,7,3,3,1,0,0,,3,4,0,0,0,2,0,2,0,3,1,2020,1
20200103,Travis Colyer,Fremantle,2.5,-0.6,1.9,1.4,5.2,5.23,0,58,60,80,10,3,13,53.8,179,2,2,1,8,,4,4,1,4,0,0,,0,0,0,0,0,3,1,2,0,5,1,2020,1
20200103,Aaron Francis,Essendon,-0.1,0.7,3.6,0.6,4.8,8.07,0,49,45,78,5,5,10,90.0,187,1,1,2,8,,1,1,2,4,1,0,,0,0,0,0,0,0,0,0,0,0,0,2020,1
